model,type,source,core_n,core_primary_accuracy,core_any_phenomenon_accuracy,hard_n,hard_primary_accuracy,hard_any_phenomenon_accuracy,hard_pragmatic_n,hard_pragmatic_primary_accuracy,hard_pragmatic_any_phenomenon_accuracy,hard_direct_n,hard_direct_primary_accuracy,hard_direct_any_phenomenon_accuracy,real_clean_n,real_clean_primary_accuracy,real_clean_any_phenomenon_accuracy,aggregate_n,aggregate_primary_accuracy,aggregate_any_phenomenon_accuracy,parse_failure_rate,notes
GPT-5.5,Model,experiments/api_core_3000_final/openai_gpt-5.5_pcp_full.json ; experiments/api_hard_469_final/openai_gpt-5.5_pcp_full.json ; experiments/api_real_clean_64_final/openai_gpt-5.5_pcp_full.json,3000,0.6036666666666667,0.661,469,0.5884861407249466,0.6545842217484008,419,0.5871121718377088,0.6610978520286396,50,0.6,0.6,64,0.375,0.46875,3533,0.5975091989810359,0.6566657231814322,0.0,
Claude Opus 4.7,Model,experiments/api_core_3000_final/openai_claude-opus-4-7_pcp_full.json ; experiments/api_hard_469_final/openai_claude-opus-4-7_pcp_full.json ; experiments/api_real_clean_64_final/openai_claude-opus-4-7_pcp_full.json,3000,0.5993333333333334,0.6613333333333333,469,0.6012793176972282,0.6631130063965884,419,0.5990453460620525,0.6682577565632458,50,0.62,0.62,64,0.59375,0.6875,3533,0.5994905179733937,0.6620435890178319,0.0,
Gemini 3.1 Pro,Model,experiments/api_core_3000_final/openai_gemini-3.1-pro-preview_pcp_full.json ; experiments/api_hard_469_final/openai_gemini-3.1-pro-preview_pcp_full.json ; experiments/api_real_clean_64_final/openai_gemini-3.1-pro-preview_pcp_full.json,3000,0.6333333333333333,0.687,469,0.6119402985074627,0.6801705756929638,419,0.594272076372315,0.6706443914081146,50,0.76,0.76,64,0.46875,0.5625,3533,0.6275120294367393,0.6838380979337674,0.0,
MiMo-V2.5-Pro,Model,experiments/api_core_3000_final/openai_mimo-v2.5-pro_pcp_full.json ; experiments/api_hard_469_final/openai_mimo-v2.5-pro_pcp_full.json ; experiments/api_real_clean_64_final/openai_mimo-v2.5-pro_pcp_full.json,3000,0.6133333333333333,0.6653333333333333,469,0.6183368869936035,0.673773987206823,419,0.6372315035799523,0.6992840095465394,50,0.46,0.46,64,0.40625,0.515625,3533,0.610246249646193,0.6637418624398528,0.0,
MiniMax-M2.7,Model,experiments/api_core_3000_final/openai_MiniMax-M2.7_pcp_full.json ; experiments/api_hard_469_final/openai_MiniMax-M2.7_pcp_full.json ; experiments/api_real_clean_64_final/openai_MiniMax-M2.7_pcp_full.json,3000,0.5793333333333334,0.607,469,0.5394456289978679,0.5650319829424307,419,0.5608591885441527,0.5894988066825776,50,0.36,0.36,64,0.375,0.5,3533,0.5703368242287008,0.5994905179733937,0.0,
GLM-5.1,Model,experiments/api_core_3000_final/openai_z-ai_glm-5.1_pcp_full.json ; experiments/api_hard_469_final/openai_z-ai_glm-5.1_pcp_full.json ; experiments/api_real_clean_64_final/openai_z-ai_glm-5.1_pcp_full.json,3000,0.588,0.6336666666666667,469,0.582089552238806,0.6439232409381663,419,0.630071599045346,0.6992840095465394,50,0.18,0.18,64,0.46875,0.546875,3533,0.5850551938862156,0.6334559864138126,0.0,
MedGemma-27B-it,Model,experiments/api_core_3000_final/openai_google_medgemma-27b-it_pcp_full.json ; experiments/api_hard_469_final/openai_google_medgemma-27b-it_pcp_full.json ; experiments/api_real_clean_64_final/openai_google_medgemma-27b-it_pcp_full.json,3000,0.5713333333333334,0.6206666666666667,469,0.5607675906183369,0.6140724946695096,419,0.568019093078759,0.6276849642004774,50,0.5,0.5,64,0.375,0.453125,3533,0.5663741862439853,0.61675629776394,0.0,
BioMistral-7B,Model,experiments/api_core_3000_final/openai_BioMistral_BioMistral-7B_pcp_full.json ; experiments/api_hard_469_final/openai_BioMistral_BioMistral-7B_pcp_full.json ; experiments/api_real_clean_64_final/openai_BioMistral_BioMistral-7B_pcp_full.json,3000,0.212,0.22533333333333333,469,0.2345415778251599,0.24520255863539445,419,0.1909307875894988,0.20286396181384247,50,0.6,0.6,64,0.15625,0.203125,3533,0.21398245117463913,0.22756863855080667,0.016982734220209454,
Gemma-3-27B-it,Model,experiments/api_core_3000_final/openai_google_gemma-3-27b-it_pcp_full.json ; experiments/api_hard_469_final/openai_google_gemma-3-27b-it_pcp_full.json ; experiments/api_real_clean_64_final/openai_google_gemma-3-27b-it_pcp_full.json,3000,0.5776666666666667,0.6296666666666667,469,0.5842217484008528,0.6375266524520256,419,0.5894988066825776,0.649164677804296,50,0.54,0.54,64,0.453125,0.546875,3533,0.5762807812057741,0.6292103028587602,0.0,
Mistral-Small-3.2-24B-Instruct,Model,experiments/api_core_3000_final/openai_mistralai_Mistral-Small-3.2-24B-Instruct-2506_pcp_full.json ; experiments/api_hard_469_final/openai_mistralai_Mistral-Small-3.2-24B-Instruct-2506_pcp_full.json ; experiments/api_real_clean_64_final/openai_mistralai_Mistral-Small-3.2-24B-Instruct-2506_pcp_full.json,3000,0.578,0.6066666666666667,469,0.5501066098081023,0.579957356076759,419,0.568019093078759,0.6014319809069213,50,0.4,0.4,64,0.453125,0.515625,3533,0.5720350976507218,0.6014718369657515,0.0,
Qwen3-30B-A3B-Instruct,Model,experiments/api_core_3000_final/openai_Qwen_Qwen3-30B-A3B-Instruct-2507_pcp_full.json ; experiments/api_hard_469_final/openai_Qwen_Qwen3-30B-A3B-Instruct-2507_pcp_full.json ; experiments/api_real_clean_64_final/openai_Qwen_Qwen3-30B-A3B-Instruct-2507_pcp_full.json,3000,0.6513333333333333,0.6803333333333333,469,0.650319829424307,0.6801705756929638,419,0.6801909307875895,0.7136038186157518,50,0.4,0.4,64,0.296875,0.359375,3533,0.6447778092272856,0.6744975941126521,0.0,
